,DATE,PRECIP
126,02/04/2020,22.61
127,02/05/2020,22.61
128,02/06/2020,22.61
129,02/07/2020,22.61
130,02/08/2020,22.61
131,02/09/2020,22.61
132,02/10/2020,22.61
133,02/11/2020,22.61
134,02/12/2020,22.61
135,02/13/2020,22.61
136,02/14/2020,22.61
137,02/15/2020,22.61
138,02/16/2020,22.61
139,02/17/2020,22.61
140,02/18/2020,22.61
141,02/19/2020,22.61
142,02/20/2020,22.61
143,02/21/2020,22.61
144,02/22/2020,22.61
145,02/23/2020,22.61
146,02/24/2020,22.61
147,02/25/2020,22.61
148,02/26/2020,22.61
149,02/27/2020,22.61
150,02/28/2020,22.61
151,02/29/2020,22.77
152,03/01/2020,23.02
153,03/02/2020,23.02
154,03/03/2020,23.02
155,03/04/2020,23.02
156,03/05/2020,23.02
157,03/06/2020,23.02
158,03/07/2020,23.83
159,03/08/2020,23.94
160,03/09/2020,24.0
161,03/10/2020,24.0
162,03/11/2020,24.0
163,03/12/2020,24.0
164,03/13/2020,24.03
165,03/14/2020,26.9
166,03/15/2020,30.23
167,03/16/2020,31.39
168,03/17/2020,32.07
169,03/18/2020,32.51
170,03/19/2020,32.51
171,03/20/2020,32.51
172,03/21/2020,32.54
173,03/22/2020,32.78
174,03/23/2020,32.83
175,03/24/2020,33.88
176,03/25/2020,34.31
177,03/26/2020,34.31
178,03/27/2020,34.31
179,03/28/2020,34.43
180,03/29/2020,34.58
181,03/30/2020,34.59
182,03/31/2020,34.59
183,04/01/2020,34.59
184,04/02/2020,34.59
185,04/03/2020,34.59
186,04/04/2020,35.54
187,04/05/2020,37.75
188,04/06/2020,38.98
189,04/07/2020,39.13
190,04/08/2020,39.13
191,04/09/2020,39.13
192,04/10/2020,39.13
193,04/11/2020,39.13
194,04/12/2020,39.13
195,04/13/2020,39.13
196,04/14/2020,39.13
197,04/15/2020,39.13
198,04/16/2020,39.37
199,04/17/2020,39.38
200,04/18/2020,39.38
201,04/19/2020,39.38
202,04/20/2020,39.38
203,04/21/2020,39.38
204,04/22/2020,39.38
205,04/23/2020,39.38
206,04/24/2020,39.38
207,04/25/2020,39.38
208,04/26/2020,39.38
209,04/27/2020,39.38
210,04/28/2020,39.38
211,04/29/2020,39.38
212,04/30/2020,39.38
213,05/01/2020,39.38
214,05/02/2020,39.38
215,05/03/2020,39.38
216,05/04/2020,39.38
217,05/05/2020,39.38
218,05/06/2020,39.38
219,05/07/2020,39.38
220,05/08/2020,39.38
221,05/09/2020,39.38
222,05/10/2020,39.38
223,05/11/2020,39.38
224,05/12/2020,39.89
225,05/13/2020,40.03
226,05/14/2020,40.04
227,05/15/2020,40.04
228,05/16/2020,40.04
229,05/17/2020,42.39
230,05/18/2020,43.93
231,05/19/2020,44.29
232,05/20/2020,44.53
233,05/21/2020,44.53
234,05/22/2020,44.53
235,05/23/2020,44.53
236,05/24/2020,44.53
237,05/25/2020,44.53
238,05/26/2020,44.53
239,05/27/2020,44.53
240,05/28/2020,44.53
241,05/29/2020,44.53
242,05/30/2020,44.78
243,05/31/2020,44.78
244,06/01/2020,44.84
245,06/02/2020,44.84
246,06/03/2020,44.84
247,06/04/2020,44.84
248,06/05/2020,44.84
249,06/06/2020,44.93
250,06/07/2020,44.93
251,06/08/2020,44.93
252,06/09/2020,44.93
253,06/10/2020,44.93
254,06/11/2020,44.93
255,06/12/2020,44.94
256,06/13/2020,44.94
257,06/14/2020,44.94
258,06/15/2020,44.94
259,06/16/2020,44.94
260,06/17/2020,44.94
261,06/18/2020,44.94
262,06/19/2020,44.94
263,06/20/2020,44.94
264,06/21/2020,44.94
265,06/22/2020,44.94
266,06/23/2020,44.94
267,06/24/2020,44.94
268,06/25/2020,44.94
269,06/26/2020,44.94
270,06/27/2020,44.94
271,06/28/2020,44.94
272,06/29/2020,44.94
273,06/30/2020,44.94
274,07/01/2020,44.94
275,07/02/2020,44.94
276,07/03/2020,44.94
277,07/04/2020,44.94
278,07/05/2020,44.94
279,07/06/2020,44.94
280,07/07/2020,44.94
281,07/08/2020,44.94
282,07/09/2020,44.94
283,07/10/2020,44.94
284,07/11/2020,44.94
285,07/12/2020,44.94
286,07/13/2020,44.94
287,07/14/2020,44.94
288,07/15/2020,44.94
289,07/16/2020,44.94
290,07/17/2020,44.94
291,07/18/2020,44.94
292,07/19/2020,44.94
293,07/20/2020,44.94
294,07/21/2020,44.94
295,07/22/2020,44.94
296,07/23/2020,44.94
297,07/24/2020,44.94
298,07/25/2020,44.94
299,07/26/2020,44.94
300,07/27/2020,44.94
301,07/28/2020,44.94
302,07/29/2020,44.94
303,07/30/2020,44.94
304,07/31/2020,44.94
305,08/01/2020,44.94
306,08/02/2020,44.94
307,08/03/2020,44.94
308,08/04/2020,44.94
309,08/05/2020,44.94
310,08/06/2020,44.94
311,08/07/2020,44.94
312,08/08/2020,44.94
313,08/09/2020,44.94
314,08/10/2020,44.94
315,08/11/2020,44.94
316,08/12/2020,44.94
317,08/13/2020,44.94
318,08/14/2020,44.94
319,08/15/2020,44.94
320,08/16/2020,44.94
321,08/17/2020,44.94
322,08/18/2020,44.94
323,08/19/2020,44.94
324,08/20/2020,44.94
325,08/21/2020,44.94
326,08/22/2020,44.94
327,08/23/2020,44.94
328,08/24/2020,44.94
329,08/25/2020,44.94
330,08/26/2020,44.94
331,08/27/2020,44.94
332,08/28/2020,44.94
333,08/29/2020,44.94
334,08/30/2020,44.94
335,08/31/2020,44.94
336,09/01/2020,44.94
337,09/02/2020,44.94
338,09/03/2020,44.94
339,09/04/2020,44.94
340,09/05/2020,44.94
341,09/06/2020,44.94
342,09/07/2020,44.94
343,09/08/2020,44.94
344,09/09/2020,44.94
345,09/10/2020,44.94
346,09/11/2020,44.94
347,09/12/2020,44.94
348,09/13/2020,44.94
349,09/14/2020,44.94
350,09/15/2020,44.94
351,09/16/2020,44.94
352,09/17/2020,44.94
353,09/18/2020,44.94
354,09/19/2020,44.94
355,09/20/2020,44.94
356,09/21/2020,44.94
357,09/22/2020,44.94
358,09/23/2020,44.94
359,09/24/2020,44.94
360,09/25/2020,44.94
361,09/26/2020,44.94
362,09/27/2020,44.94
363,09/28/2020,44.94
364,09/29/2020,44.94
365,09/30/2020,44.94
366,10/01/2020,0.0
